Date,kpop,BTS,BLACKPINK,PSY,EXO,DAY6,Girls' Gen,BIGBANG,MAMAMOO,MOMOLAND,GOT7,Stray Kids,TXT,ITZY,ENHYPEN,GI-DLE,The Beatles
14-Apr,45358,109440,0,54158,167891,0,58880,28846,0,0,39000,2068,49495,3216,0,0,255124
14-May,38879,109440,0,61895,239400,0,53760,30000,1215,0,40625,0,47080,4288,0,0,262019
14-Jun,42766,109440,0,123789,198982,1106,55040,28846,6076,0,66625,0,48287,3216,0,0,227543
14-Jul,46654,136800,0,61895,180327,1106,57600,32308,8506,0,79625,0,49495,4288,0,0,234438
14-Aug,47950,191520,0,61895,164782,0,57600,32308,4861,0,63375,0,45873,4288,0,0,241333
14-Sep,45358,136800,0,61895,136800,0,66560,32308,3646,0,45500,2068,49495,4288,0,0,213752
14-Oct,40174,136800,0,54158,139909,0,71680,32308,1215,0,43875,0,50702,3216,0,0,220648
14-Nov,45358,136800,0,54158,164782,0,51200,33462,8506,0,61750,0,47080,3216,0,0,220648
14-Dec,46654,164160,0,61895,167891,0,55040,32308,10937,0,81250,2068,45873,3216,0,0,248229
15-Jan,49246,164160,0,54158,217636,553,48640,34615,12152,0,82875,0,47080,4288,0,0,241333
15-Feb,44062,164160,0,54158,211418,553,43520,33462,8506,0,71500,0,48287,3216,0,0,262019
15-Mar,49246,191520,0,46421,245618,0,39680,33462,7291,0,69875,0,45873,3216,0,0,227543
15-Apr,53134,191520,0,46421,310909,553,58880,53077,15797,0,68250,0,49495,3216,0,0,241333
15-May,47950,273600,0,46421,254945,1658,49920,100385,8506,0,65000,0,49495,4288,0,0,234438
15-Jun,54430,273600,0,46421,264273,0,47360,115385,25519,835,55250,0,49495,3216,0,0,206857
15-Jul,57022,355680,0,46421,205200,553,75520,84231,29165,0,100750,2068,45873,4288,0,0,179276
15-Aug,55726,273600,0,54158,174109,1106,67840,84231,26734,0,94250,0,44666,4288,0,0,193067
15-Sep,50542,300960,0,46421,136800,38144,52480,70385,29165,0,89375,0,47080,4288,0,0,193067
15-Oct,53134,300960,0,46421,146127,17690,48640,95769,23089,0,121875,2068,42251,4288,0,3875,199962
15-Nov,58318,383040,0,54158,171000,13820,48640,72692,15797,0,105625,0,43459,2144,0,0,206857
15-Dec,67389,547200,0,154737,214527,8845,51200,80769,18228,0,112125,0,43459,3216,0,0,268914
16-Jan,60910,410400,0,54158,149236,12162,39680,49615,18228,0,100750,2068,39837,3216,0,0,220648
16-Feb,58318,383040,0,54158,146127,16584,42240,46154,38886,0,91000,0,42251,3216,0,0,213752
